WAS,WASs,TDS,TDSs,BUS,BUSs,SS,SSs,RNASize,RNAfold,WAS300,TDS300
0.566446,235,0.55622,474,0.301575,265,0.544372,480,2876,0.526506,,
0.585655,246,0.566061,498,0.330827,413,0.560146,167,2876,0.571596,,
0.576393,235,0.543014,379,0.302711,265,0.553062,370,2876,0.528097,,
0.585308,246,0.565718,498,0.315949,396,0.561064,376,2876,0.572941,,
0.586146,246,0.55442,380,0.319277,419,0.56034,167,2878,0.551967,,
0.583432,246,0.552347,380,0.318011,419,0.558252,167,2879,0.525253,,
0.58635,246,0.55522,380,0.301454,419,0.565632,390,2879,0.530221,,
0.58635,246,0.554551,380,0.329076,419,0.560486,167,2880,0.52801,,
0.584469,246,0.553345,380,0.300153,396,0.564226,376,2881,0.551237,,
0.586002,246,0.554551,380,0.300534,419,0.564622,390,2882,0.52801,,
0.571768,440,0.576029,405,0.314286,417,0.558279,404,2882,0.527877,,
0.57109,440,0.553679,380,0.310578,420,0.555488,376,2882,0.526627,,
0.525132,162,0.518469,379,0.315972,416,0.518318,354,2884,0.373461,,
0.571936,440,0.55522,380,0.311413,417,0.54997,382,2885,0.526875,,
0.581967,491,0.585308,402,0.296183,417,0.565346,402,2888,0.525816,,
0.627839,346,0.600355,411,0.27027,140,0.609053,345,2891,0.546988,,
0.687693,447,0.648442,440,0.400668,427,0.647362,169,2904,0.575969,,
0.580456,421,0.56974,405,0.289655,323,0.558719,412,2916,0.567442,,
0.582487,371,0.562092,436,0.30423,285,0.58123,436,2937,0.518905,,
0.511268,164,0.544394,412,0.299331,419,0.537217,359,2943,0.406085,,
0.458424,164,0.483918,383,0.253906,389,0.482456,385,2943,0.337455,,
0.590126,216,0.566237,235,0.336,169,0.567268,498,2958,0.54023,,
0.571251,456,0.550761,359,0.298094,290,0.58512,451,2995,0.575155,,
0.582535,277,0.549513,409,0.303965,290,0.582235,279,3009,0.562997,,
0.587035,383,0.570202,197,0.310539,285,0.592727,225,3012,0.55569,,
